masv,hocky,namhoc,dtbhk,sotchk
16520085,2,2016,6.52,15
16520085,1,2017,6.78,23
16520085,2,2017,7.29,19
16520085,1,2018,6.41,17
16520086,1,2016,6.13,17
16520086,2,2016,5.6,16
16520086,3,2016,8.0,3
16520086,1,2017,5.05,24
16520086,2,2017,6.77,18
16520086,3,2017,5.0,4
16520086,1,2018,7.44,22
16520088,1,2016,5.27,19
16520088,2,2016,3.05,15
16520088,1,2017,5.74,19
16520088,2,2017,6.41,23
16520088,3,2017,6.5,8
16520088,1,2018,4.54,19
16520089,1,2016,5.71,17
16520089,2,2016,1.35,16
16520089,3,2016,8.0,3
16520089,1,2017,4.37,18
16520089,2,2017,5.38,20
16520089,1,2018,6.42,19
16520090,1,2016,3.94,17
16520090,2,2016,0.05,17
16520090,1,2017,0.37,19
16520092,1,2016,7.64,19
16520092,2,2016,6.87,19
16520092,1,2017,8.11,21
16520092,2,2017,7.82,17
16520092,1,2018,7.59,17
16520093,1,2016,5.62,13
16520093,2,2016,1.19,11
16520093,1,2017,2.47,21
16520093,2,2017,3.8,13
16520093,1,2018,1.0,16
16520097,1,2016,5.48,19
16520097,2,2016,6.14,21
16520097,3,2016,7.29,7
16520097,1,2017,5.41,19
16520097,2,2017,6.34,17
16520097,1,2018,6.31,20
16520103,1,2016,7.01,17
16520103,2,2016,6.8,21
16520103,1,2017,7.91,20
16520103,2,2017,7.18,20
16520103,1,2018,9.15,17
16520105,1,2016,6.11,17
16520105,2,2016,5.12,20
16520105,1,2017,7.04,23
16520105,2,2017,6.63,23
16520105,1,2018,2.33,19
16520106,1,2016,1.08,13
16520107,1,2016,6.08,17
16520107,2,2016,5.56,19
16520107,1,2017,6.65,24
16520107,2,2017,6.39,17
16520107,3,2017,8.1,4
16520107,1,2018,6.71,18
16520108,1,2016,6.38,13
16520108,2,2016,4.87,15
16520108,1,2017,5.92,23
16520108,2,2017,6.32,23
16520108,1,2018,6.61,18
16520109,1,2016,8.4,15
16520109,2,2016,7.49,19
16520109,1,2017,7.73,24
16520109,2,2017,8.06,17
16520109,1,2018,6.07,18
16520111,1,2016,7.71,15
16520111,2,2016,7.91,17
16520111,3,2016,6.2,4
16520111,1,2017,6.61,24
16520111,2,2017,7.56,22
16520111,1,2018,8.13,16
16520112,1,2016,7.32,13
16520112,2,2016,6.11,17
16520112,1,2017,6.61,21
16520112,2,2017,6.85,21
16520112,1,2018,6.91,22
16520116,1,2016,3.16,17
16520116,2,2016,3.37,21
16520116,3,2016,1.16,7
16520116,1,2017,0.0,19
16520117,1,2016,1.17,22
16520117,2,2016,0.14,18
16520121,1,2016,4.88,19
16520121,2,2016,0.76,21
16520121,1,2017,4.8,20
16520121,2,2017,0.43,12
16520121,3,2017,0.55,8
16520121,1,2018,0.57,14
16520122,1,2016,6.37,19
16520122,2,2016,5.39,19
16520122,1,2017,6.26,24
16520122,2,2017,7.06,19
16520122,1,2018,6.06,14
16520124,1,2016,7.32,17
16520124,2,2016,5.37,19
16520124,1,2017,7.51,23
16520124,2,2017,7.62,20
16520124,1,2018,4.9,24
16520126,1,2016,6.75,19
16520126,2,2016,6.99,21
16520126,1,2017,6.94,24
16520126,2,2017,7.2,20
16520126,1,2018,7.42,20
16520128,1,2016,7.37,13
16520128,2,2016,5.81,17
16520128,1,2017,7.13,21
16520128,2,2017,6.23,22
16520128,1,2018,7.43,23
16520129,1,2016,2.59,15
16520131,1,2016,7.88,17
16520131,2,2016,7.34,21
16520131,1,2017,8.61,20
16520131,2,2017,7.5,20
16520131,1,2018,8.24,15
16520132,1,2016,6.74,17
16520132,2,2016,5.56,21
16520132,1,2017,7.8,23
16520132,2,2017,7.25,19
16520132,1,2018,7.54,19
16520133,1,2016,4.61,17
16520133,2,2016,0.06,21
16520134,1,2016,7.85,17
16520134,2,2016,6.56,19
16520134,1,2017,8.46,22
16520134,2,2017,7.37,23
16520134,1,2018,9.31,17
16520136,1,2016,6.64,17
16520136,2,2016,6.8,21
16520136,1,2017,6.76,24
16520136,2,2017,7.1,22
16520136,3,2017,7.4,4
16520136,1,2018,7.14,20
16520137,1,2016,5.05,19
16520137,2,2016,4.39,21
16520137,3,2016,5.71,7
16520137,1,2017,3.99,20
16520137,2,2017,4.24,21
16520137,1,2018,5.57,20
16520138,1,2016,8.35,15
16520138,2,2016,7.51,19
16520138,1,2017,8.44,22
16520138,2,2017,7.49,20
16520138,1,2018,8.28,22
16520140,1,2016,7.35,17
16520140,2,2016,6.35,15
16520140,1,2017,8.5,22
16520140,2,2017,7.56,22
16520140,1,2018,7.91,18
16520141,1,2016,5.56,17
16520141,2,2016,0.34,19
16520141,1,2017,0.15,17
16520141,2,2017,0.27,14
16520144,1,2016,7.17,15
16520144,2,2016,6.77,17
16520144,1,2017,7.02,19
16520144,2,2017,7.81,21
16520144,1,2018,6.27,18
16520145,1,2016,6.8,17
16520145,2,2016,2.27,19
16520145,1,2017,6.91,22
16520145,2,2017,6.4,13
16520145,3,2017,7.66,7
16520145,1,2018,6.14,21
16520146,1,2016,7.09,17
16520146,2,2016,6.31,19
16520146,1,2017,7.87,21
16520146,2,2017,8.04,18
16520146,1,2018,7.77,23
16520147,1,2016,7.36,17
16520147,2,2016,6.56,21
16520147,1,2017,8.76,22
16520147,2,2017,8.24,20
16520147,1,2018,7.21,17
16520148,1,2016,7.23,12
16520148,2,2016,6.21,13
16520148,3,2016,6.9,6
16520148,1,2017,6.81,20
16520148,2,2017,7.56,20
16520148,1,2018,7.02,17
